semester,loss,accuracy,precision,recall,f1_score,dur,path
1,0.7108,0.7634,0.4722,0.3445,0.3668,4.25,model_kedinasan/cnn_sem_1.keras
2,0.6551,0.7761,0.6267,0.3924,0.4376,6.51,model_kedinasan/cnn_sem_2.keras
3,0.6037,0.8,0.5339,0.4759,0.478,8.71,model_kedinasan/cnn_sem_3.keras
4,0.5724,0.8145,0.5653,0.3981,0.4226,10.08,model_kedinasan/cnn_sem_4.keras
5,0.5394,0.8324,0.5004,0.3774,0.4129,11.99,model_kedinasan/cnn_sem_5.keras
6,0.3421,0.8829,0.7189,0.5763,0.6254,50.8,model_kedinasan/cnn_sem_6.keras
7,0.491,0.832,0.5117,0.4703,0.4796,15.37,model_kedinasan/cnn_sem_7.keras
8,0.467,0.8525,0.6437,0.472,0.5045,16.33,model_kedinasan/cnn_sem_8.keras
9,0.4575,0.8542,0.6564,0.4492,0.5033,16.44,model_kedinasan/cnn_sem_9.keras
10,0.4719,0.8446,0.6236,0.4986,0.5245,16.06,model_kedinasan/cnn_sem_10.keras
11,0.4687,0.8445,0.6067,0.3977,0.4283,16.12,model_kedinasan/cnn_sem_11.keras
12,0.4993,0.8311,0.5058,0.423,0.4441,16.41,model_kedinasan/cnn_sem_12.keras
