semester,loss,accuracy,precision,recall,f1_score,dur,path
1,0.5391,0.819,0.6855,0.5254,0.5585,4.92,model_kedinasan/dnn_sem_1.keras
2,0.4625,0.8585,0.7241,0.6173,0.6512,13.38,model_kedinasan/dnn_sem_2.keras
3,0.4043,0.8636,0.6944,0.6005,0.6351,11.37,model_kedinasan/dnn_sem_3.keras
4,0.357,0.8697,0.8295,0.5649,0.6284,5.71,model_kedinasan/dnn_sem_4.keras
5,0.3192,0.8937,0.8525,0.6771,0.7243,22.83,model_kedinasan/dnn_sem_5.keras
6,0.2989,0.9025,0.8658,0.6845,0.747,19.64,model_kedinasan/dnn_sem_6.keras
7,0.278,0.9022,0.7239,0.6362,0.6627,7.78,model_kedinasan/dnn_sem_7.keras
8,0.3038,0.8988,0.841,0.7077,0.7591,8.13,model_kedinasan/dnn_sem_8.keras
9,0.2878,0.8997,0.7214,0.6366,0.6652,8.1,model_kedinasan/dnn_sem_9.keras
10,0.2821,0.904,0.8588,0.7496,0.7935,8.22,model_kedinasan/dnn_sem_10.keras
11,0.271,0.9044,0.874,0.7017,0.7684,8.18,model_kedinasan/dnn_sem_11.keras
12,0.2828,0.9028,0.852,0.6577,0.7191,8.19,model_kedinasan/dnn_sem_12.keras
