semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.7737,0.7321,0.4219,0.3087,0.3277,4.6,model_kedinasan_feature_selection/cnn_sem_1.keras
2,0.7513,0.7488,0.4603,0.3195,0.351,6.66,model_kedinasan_feature_selection/cnn_sem_2.keras
3,0.6504,0.7844,0.4463,0.3205,0.3516,8.56,model_kedinasan_feature_selection/cnn_sem_3.keras
4,0.6107,0.8079,0.3398,0.315,0.3177,10.19,model_kedinasan_feature_selection/cnn_sem_4.keras
5,0.5812,0.8037,0.3969,0.2979,0.3135,12.11,model_kedinasan_feature_selection/cnn_sem_5.keras
6,0.5828,0.7981,0.3399,0.3031,0.3061,13.79,model_kedinasan_feature_selection/cnn_sem_6.keras
7,0.527,0.8156,0.3588,0.3,0.3081,14.61,model_kedinasan_feature_selection/cnn_sem_7.keras
8,0.4944,0.8265,0.4368,0.3004,0.321,15.1,model_kedinasan_feature_selection/cnn_sem_8.keras
9,0.5195,0.8262,0.5463,0.3284,0.35,14.97,model_kedinasan_feature_selection/cnn_sem_9.keras
10,0.5156,0.8358,0.4965,0.3359,0.3696,15.25,model_kedinasan_feature_selection/cnn_sem_10.keras
11,0.5162,0.8266,0.439,0.3137,0.3314,15.11,model_kedinasan_feature_selection/cnn_sem_11.keras
12,0.5209,0.847,0.5244,0.3783,0.4055,14.97,model_kedinasan_feature_selection/cnn_sem_12.keras
