semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1.0761,0.5976,0.2264,0.2114,0.2108,31.22,model_kedinasan_feature_selection/lstm_sem_1.keras
2,1.0545,0.5816,0.2122,0.2283,0.2192,43.27,model_kedinasan_feature_selection/lstm_sem_2.keras
3,1.0423,0.5912,0.2249,0.2162,0.2174,64.61,model_kedinasan_feature_selection/lstm_sem_3.keras
4,0.9736,0.6427,0.2287,0.2361,0.2275,70.7,model_kedinasan_feature_selection/lstm_sem_4.keras
5,0.9303,0.6433,0.2371,0.232,0.2276,72.92,model_kedinasan_feature_selection/lstm_sem_5.keras
6,0.9083,0.6613,0.2131,0.2425,0.2236,85.09,model_kedinasan_feature_selection/lstm_sem_6.keras
7,0.9051,0.6642,0.3125,0.2379,0.2424,92.47,model_kedinasan_feature_selection/lstm_sem_7.keras
8,0.8556,0.6803,0.232,0.2426,0.2332,109.69,model_kedinasan_feature_selection/lstm_sem_8.keras
9,0.867,0.6729,0.2266,0.244,0.2342,109.91,model_kedinasan_feature_selection/lstm_sem_9.keras
10,0.8655,0.6799,0.2769,0.2422,0.2502,111.34,model_kedinasan_feature_selection/lstm_sem_10.keras
11,0.8634,0.6827,0.2338,0.2492,0.2402,111.34,model_kedinasan_feature_selection/lstm_sem_11.keras
12,0.8784,0.6693,0.2379,0.2381,0.2337,110.13,model_kedinasan_feature_selection/lstm_sem_12.keras
