semester,fold,val_loss,val_accuracy,val_precision,val_recall,val_f1_score,training_duration,epochs
1,1,0.534,0.8049,0.5242,0.4858,0.4827,6.22,47
1,2,0.5016,0.8362,0.5905,0.5312,0.5517,10.7,88
1,3,0.5151,0.8291,0.6458,0.521,0.5423,11.26,94
1,4,0.514,0.819,0.6298,0.5059,0.5461,11.59,97
1,5,0.4967,0.8352,0.5246,0.4681,0.4906,8.13,66
2,1,0.4726,0.8416,0.6079,0.5333,0.5553,10.8,53
2,2,0.4582,0.8284,0.5846,0.5409,0.5533,13.25,69
2,3,0.4529,0.8399,0.5454,0.5115,0.5252,9.88,50
2,4,0.4127,0.8579,0.7205,0.5719,0.5889,10.1,52
2,5,0.4526,0.8377,0.6674,0.573,0.6014,17.56,93
3,1,0.4079,0.8548,0.6602,0.541,0.5793,16.93,68
3,2,0.4078,0.8576,0.6695,0.5436,0.5892,15.92,64
3,3,0.3875,0.8636,0.7353,0.6583,0.6824,14.45,59
3,4,0.3907,0.8676,0.7111,0.5913,0.6346,21.31,85
3,5,0.4184,0.8567,0.6759,0.5563,0.5861,17.74,71
4,1,0.37,0.876,0.8238,0.6477,0.6946,26.78,89
4,2,0.3311,0.8817,0.8269,0.6551,0.7166,23.39,76
4,3,0.3421,0.8871,0.6814,0.5833,0.6175,22.07,69
4,4,0.3611,0.8725,0.8245,0.6269,0.6848,20.73,61
4,5,0.3573,0.8709,0.6879,0.6022,0.6305,26.71,80
5,1,0.3081,0.8919,0.7079,0.6168,0.6333,32.77,83
5,2,0.3003,0.8971,0.8294,0.6803,0.7225,33.08,83
5,3,0.3289,0.8848,0.7926,0.6722,0.7073,31.46,78
5,4,0.3115,0.8892,0.8534,0.6488,0.7151,31.52,69
5,5,0.3362,0.8887,0.7414,0.6573,0.6905,42.2,91
6,1,0.2815,0.9032,0.7658,0.6634,0.6951,49.09,92
6,2,0.2872,0.9043,0.8241,0.7164,0.7618,44.34,86
6,3,0.2763,0.9007,0.8211,0.6587,0.7006,37.23,66
6,4,0.2823,0.8974,0.813,0.6507,0.6991,52.24,94
6,5,0.277,0.9081,0.8519,0.7191,0.764,43.41,77
7,1,0.2618,0.9089,0.7691,0.6843,0.711,48.51,84
7,2,0.2484,0.9138,0.7932,0.6915,0.7326,55.61,96
7,3,0.2996,0.9025,0.7966,0.6312,0.6926,44.37,76
7,4,0.2828,0.9016,0.7884,0.7327,0.7438,48.75,70
7,5,0.2807,0.9121,0.852,0.6902,0.7419,51.99,75
8,1,0.2757,0.9035,0.7178,0.6328,0.6637,55.35,75
8,2,0.2621,0.9114,0.8211,0.772,0.7923,60.83,94
8,3,0.268,0.9049,0.8369,0.683,0.7303,56.58,81
8,4,0.2658,0.9049,0.7907,0.737,0.7531,63.15,88
8,5,0.2576,0.9071,0.7973,0.6853,0.7286,46.13,63
9,1,0.277,0.9073,0.7324,0.6513,0.6846,71.47,94
9,2,0.2658,0.9067,0.7931,0.7369,0.7598,48.75,63
9,3,0.2831,0.9006,0.8171,0.7041,0.7438,58.28,78
9,4,0.2646,0.9055,0.7537,0.7468,0.7392,48.29,63
9,5,0.2357,0.9228,0.823,0.7529,0.7774,62.75,81
10,1,0.2617,0.9137,0.8235,0.764,0.7839,58.9,81
10,2,0.2699,0.9038,0.8198,0.7082,0.7537,58.79,79
10,3,0.2701,0.905,0.8155,0.723,0.758,73.55,97
10,4,0.2768,0.9048,0.8245,0.6923,0.7364,54.22,71
10,5,0.2441,0.9203,0.8574,0.7546,0.7932,52.06,68
11,1,0.2718,0.9048,0.8317,0.7183,0.7578,55.66,72
11,2,0.2578,0.9058,0.8063,0.7225,0.7538,52.91,68
11,3,0.2755,0.904,0.8324,0.7003,0.7377,58.94,79
11,4,0.2665,0.9058,0.8131,0.784,0.7937,47.84,67
11,5,0.2464,0.9183,0.8079,0.7956,0.7947,68.15,95
12,1,0.2704,0.9079,0.8238,0.7462,0.7783,72.28,100
12,2,0.2596,0.9034,0.8175,0.7044,0.753,53.46,74
12,3,0.2788,0.9083,0.8238,0.7139,0.754,46.83,64
12,4,0.2668,0.9077,0.843,0.7442,0.7837,66.69,92
12,5,0.2444,0.9158,0.8503,0.7904,0.815,72.9,100
