semester,accuracy,precision,recall,f1_score,dur,model_path
1,0.8089,0.7991,0.8089,0.7988,0.01,model_kedinasan_feature_selection_knn/knn_sem_1.pkl
2,0.8214,0.8144,0.8214,0.8139,0.01,model_kedinasan_feature_selection_knn/knn_sem_2.pkl
3,0.8412,0.8326,0.8412,0.8324,0.0,model_kedinasan_feature_selection_knn/knn_sem_3.pkl
4,0.8507,0.8444,0.8507,0.8448,0.01,model_kedinasan_feature_selection_knn/knn_sem_4.pkl
5,0.8585,0.8521,0.8585,0.853,0.02,model_kedinasan_feature_selection_knn/knn_sem_5.pkl
6,0.869,0.8622,0.869,0.864,0.02,model_kedinasan_feature_selection_knn/knn_sem_6.pkl
7,0.8758,0.8712,0.8758,0.8715,0.03,model_kedinasan_feature_selection_knn/knn_sem_7.pkl
8,0.8812,0.8767,0.8812,0.8765,0.02,model_kedinasan_feature_selection_knn/knn_sem_8.pkl
9,0.8807,0.8757,0.8807,0.8758,0.02,model_kedinasan_feature_selection_knn/knn_sem_9.pkl
10,0.8799,0.8748,0.8799,0.875,0.02,model_kedinasan_feature_selection_knn/knn_sem_10.pkl
11,0.8824,0.8783,0.8824,0.878,0.03,model_kedinasan_feature_selection_knn/knn_sem_11.pkl
12,0.882,0.8782,0.882,0.8778,0.02,model_kedinasan_feature_selection_knn/knn_sem_12.pkl
