semester,accuracy,precision,recall,f1_score,dur,model_path
1,0.1193,0.5343,0.1193,0.1486,0.0,model_kedinasan_feature_selection_nb/nb_sem_1.pkl
2,0.1185,0.4952,0.1185,0.1387,0.0,model_kedinasan_feature_selection_nb/nb_sem_2.pkl
3,0.1036,0.4762,0.1036,0.1178,0.0,model_kedinasan_feature_selection_nb/nb_sem_3.pkl
4,0.111,0.5391,0.111,0.1327,0.0,model_kedinasan_feature_selection_nb/nb_sem_4.pkl
5,0.1063,0.4716,0.1063,0.1263,0.01,model_kedinasan_feature_selection_nb/nb_sem_5.pkl
6,0.1071,0.498,0.1071,0.1299,0.0,model_kedinasan_feature_selection_nb/nb_sem_6.pkl
7,0.1069,0.5126,0.1069,0.1383,0.01,model_kedinasan_feature_selection_nb/nb_sem_7.pkl
8,0.1166,0.5085,0.1166,0.1391,0.0,model_kedinasan_feature_selection_nb/nb_sem_8.pkl
9,0.1164,0.5131,0.1164,0.1377,0.0,model_kedinasan_feature_selection_nb/nb_sem_9.pkl
10,0.1197,0.5121,0.1197,0.1395,0.01,model_kedinasan_feature_selection_nb/nb_sem_10.pkl
11,0.119,0.51,0.119,0.1386,0.0,model_kedinasan_feature_selection_nb/nb_sem_11.pkl
12,0.1194,0.5104,0.1194,0.1389,0.0,model_kedinasan_feature_selection_nb/nb_sem_12.pkl
