semester,accuracy,precision,recall,f1_score,dur,model_path
1,0.7765,0.7638,0.7765,0.7628,0.12,model_kedinasan_feature_selection_svm/svm_sem_1.pkl
2,0.8203,0.8214,0.8203,0.8122,0.46,model_kedinasan_feature_selection_svm/svm_sem_2.pkl
3,0.8312,0.826,0.8312,0.8221,0.75,model_kedinasan_feature_selection_svm/svm_sem_3.pkl
4,0.8469,0.8457,0.8469,0.8393,1.17,model_kedinasan_feature_selection_svm/svm_sem_4.pkl
5,0.8516,0.847,0.8516,0.8441,1.61,model_kedinasan_feature_selection_svm/svm_sem_5.pkl
6,0.8661,0.8608,0.8661,0.8589,2.16,model_kedinasan_feature_selection_svm/svm_sem_6.pkl
7,0.8694,0.8668,0.8694,0.8633,2.14,model_kedinasan_feature_selection_svm/svm_sem_7.pkl
8,0.8754,0.8724,0.8754,0.8686,2.33,model_kedinasan_feature_selection_svm/svm_sem_8.pkl
9,0.8756,0.8729,0.8756,0.8691,2.3,model_kedinasan_feature_selection_svm/svm_sem_9.pkl
10,0.8768,0.8732,0.8768,0.8709,2.37,model_kedinasan_feature_selection_svm/svm_sem_10.pkl
11,0.8765,0.8723,0.8765,0.8702,2.31,model_kedinasan_feature_selection_svm/svm_sem_11.pkl
12,0.8771,0.8736,0.8771,0.8719,2.28,model_kedinasan_feature_selection_svm/svm_sem_12.pkl
