semester,loss,accuracy,precision,recall,f1_score,dur,model_path
1,0.6735,0.7347,0.7155,0.6782,0.6847,8.05,model_kedinasan_smote/dnn_sem_1.keras
2,0.5128,0.8127,0.7849,0.7831,0.7805,12.79,model_kedinasan_smote/dnn_sem_2.keras
3,0.5304,0.7964,0.7898,0.7631,0.7685,15.74,model_kedinasan_smote/dnn_sem_3.keras
4,0.4709,0.8299,0.8258,0.8182,0.8199,18.09,model_kedinasan_smote/dnn_sem_4.keras
5,0.4896,0.8113,0.8152,0.8135,0.8107,21.03,model_kedinasan_smote/dnn_sem_5.keras
6,0.4343,0.8417,0.8398,0.8403,0.839,23.51,model_kedinasan_smote/dnn_sem_6.keras
7,0.413,0.8449,0.8427,0.8437,0.8423,25.18,model_kedinasan_smote/dnn_sem_7.keras
8,0.4199,0.8413,0.8401,0.8401,0.8391,25.52,model_kedinasan_smote/dnn_sem_8.keras
9,0.4226,0.8436,0.8474,0.8423,0.8429,25.57,model_kedinasan_smote/dnn_sem_9.keras
10,0.4145,0.8457,0.8436,0.8453,0.8436,25.58,model_kedinasan_smote/dnn_sem_10.keras
11,0.427,0.8358,0.841,0.8362,0.8358,25.57,model_kedinasan_smote/dnn_sem_11.keras
12,0.4103,0.8441,0.8452,0.8433,0.8431,25.76,model_kedinasan_smote/dnn_sem_12.keras
