semester,loss,accuracy,precision,recall,f1_score,dur,model_path
1,0.3658,0.8597,0.8339,0.833,0.8307,27.91,model_kedinasan_smote_feature_selection/dnn_sem_1.keras
2,0.7256,0.7299,0.6939,0.6672,0.6722,12.19,model_kedinasan_smote_feature_selection/dnn_sem_2.keras
3,0.3118,0.8817,0.8687,0.8665,0.867,56.19,model_kedinasan_smote_feature_selection/dnn_sem_3.keras
4,0.6816,0.7328,0.7318,0.7203,0.7167,17.09,model_kedinasan_smote_feature_selection/dnn_sem_4.keras
5,0.6602,0.748,0.7466,0.7377,0.7342,19.18,model_kedinasan_smote_feature_selection/dnn_sem_5.keras
6,0.662,0.7556,0.7601,0.7479,0.7478,21.32,model_kedinasan_smote_feature_selection/dnn_sem_6.keras
7,0.6163,0.7718,0.7757,0.7654,0.7629,22.12,model_kedinasan_smote_feature_selection/dnn_sem_7.keras
8,0.604,0.778,0.7777,0.776,0.7737,23.1,model_kedinasan_smote_feature_selection/dnn_sem_8.keras
9,0.6077,0.7744,0.7769,0.7732,0.7705,23.69,model_kedinasan_smote_feature_selection/dnn_sem_9.keras
10,0.6191,0.7766,0.777,0.7765,0.7735,23.54,model_kedinasan_smote_feature_selection/dnn_sem_10.keras
11,0.6166,0.7741,0.7806,0.7741,0.7713,23.18,model_kedinasan_smote_feature_selection/dnn_sem_11.keras
12,0.2647,0.8984,0.8993,0.8984,0.8982,92.63,model_kedinasan_smote_feature_selection/dnn_sem_12.keras
