semester,fold,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1,0.836,0.6641,0.6224,0.5944,0.5682,11.33,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_1_fold_1.keras
1,2,0.7855,0.6937,0.6856,0.621,0.6026,11.58,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_1_fold_2.keras
1,3,0.8414,0.6757,0.6946,0.5973,0.5785,11.18,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_1_fold_3.keras
1,4,0.7828,0.6879,0.5806,0.6046,0.5833,11.16,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_1_fold_4.keras
1,5,0.8235,0.6753,0.5683,0.6098,0.5785,11.28,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_1_fold_5.keras
2,1,0.7018,0.7361,0.6429,0.6572,0.6366,18.47,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_2_fold_1.keras
2,2,0.7009,0.7286,0.7185,0.6538,0.6357,18.37,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_2_fold_2.keras
2,3,0.7074,0.722,0.6632,0.6546,0.6488,18.27,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_2_fold_3.keras
2,4,0.7022,0.7215,0.6102,0.6521,0.6195,18.53,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_2_fold_4.keras
2,5,0.7017,0.7384,0.6766,0.6629,0.6422,18.76,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_2_fold_5.keras
3,1,0.7246,0.7248,0.7181,0.6866,0.6704,24.88,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_3_fold_1.keras
3,2,0.7272,0.7131,0.7046,0.6673,0.6408,25.97,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_3_fold_2.keras
3,3,0.735,0.6958,0.6605,0.6522,0.6394,24.08,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_3_fold_3.keras
3,4,0.7228,0.7112,0.7228,0.6639,0.6374,23.13,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_3_fold_4.keras
3,5,0.7125,0.718,0.7206,0.6766,0.6622,26.0,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_3_fold_5.keras
4,1,0.7018,0.737,0.7181,0.7194,0.7118,29.78,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_4_fold_1.keras
4,2,0.7223,0.7287,0.7045,0.704,0.697,26.29,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_4_fold_2.keras
4,3,0.7067,0.73,0.7047,0.6994,0.6831,26.5,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_4_fold_3.keras
4,4,0.7201,0.7195,0.7352,0.6977,0.6807,26.45,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_4_fold_4.keras
4,5,0.7324,0.7038,0.7483,0.6751,0.6438,26.75,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_4_fold_5.keras
5,1,0.691,0.7478,0.7535,0.7334,0.7268,34.89,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_5_fold_1.keras
5,2,0.6933,0.7461,0.7274,0.7308,0.7279,35.09,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_5_fold_2.keras
5,3,0.6916,0.7404,0.7374,0.7269,0.7192,34.97,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_5_fold_3.keras
5,4,0.7096,0.7247,0.7287,0.7147,0.7051,35.12,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_5_fold_4.keras
5,5,0.7078,0.7434,0.7362,0.7352,0.7336,34.86,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_5_fold_5.keras
6,1,0.6733,0.7498,0.7574,0.736,0.7309,39.48,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_6_fold_1.keras
6,2,0.6566,0.7679,0.7654,0.7623,0.7591,39.58,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_6_fold_2.keras
6,3,0.6533,0.7641,0.7592,0.7585,0.7552,40.71,model_kedinasan_smote_feature_selection/tuned_1/dnn_sem_6_fold_3.keras
