semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path,recalls_per_class
1,0.7548,0.6847,0.6878,0.6233,0.6126,9.56,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_1.keras,"[0.178, 0.58354753, 0.70715475, 0.97409326, 0.8984831, 0.2, 0.5866935, 0.8587444]"
2,0.5603,0.769,0.7427,0.7202,0.714,15.67,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_2.keras,"[0.63214284, 0.79014087, 0.90793514, 1.0, 0.878125, 0.33097345, 0.4442083, 0.7781641]"
3,0.5506,0.7912,0.7725,0.762,0.7625,19.48,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_3.keras,"[0.6834171, 0.7075564, 0.9393128, 1.0, 0.9026938, 0.5288945, 0.55004, 0.7837259]"
4,0.6123,0.7567,0.7623,0.7386,0.7363,22.61,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_4.keras,"[0.79113925, 0.4170507, 0.98722315, 1.0, 0.7465224, 0.56534094, 0.7311969, 0.66993624]"
5,0.5427,0.7926,0.8008,0.7736,0.7714,25.6,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_5.keras,"[0.7831001, 0.71384615, 0.9395002, 0.997996, 0.8898226, 0.32707354, 0.8122942, 0.7250462]"
6,0.485,0.8158,0.8156,0.814,0.8125,28.44,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_6.keras,"[0.6784859, 0.7152741, 0.95888597, 0.977152, 0.86042553, 0.7878788, 0.7872635, 0.74642694]"
7,0.1976,0.9288,0.9272,0.9281,0.9273,115.75,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_7.keras,"[0.93391466, 0.89249396, 0.9894023, 1.0, 0.9408673, 0.92821085, 0.830206, 0.9093722]"
8,0.4986,0.804,0.8192,0.8004,0.8017,29.66,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_8.keras,"[0.7120674, 0.7556242, 0.8020017, 1.0, 0.9220383, 0.5891671, 0.85258424, 0.76950675]"
9,0.4797,0.8192,0.8224,0.8193,0.8175,30.29,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_9.keras,"[0.7443609, 0.8451467, 0.95602465, 0.9951606, 0.80525637, 0.8368594, 0.6157918, 0.75547606]"
10,0.5024,0.8118,0.8146,0.8111,0.8089,30.42,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_10.keras,"[0.7384149, 0.85869074, 0.992311, 0.99955475, 0.73608065, 0.76690394, 0.6571936, 0.73996353]"
11,0.4728,0.8105,0.8131,0.8105,0.8089,30.62,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_11.keras,"[0.774903, 0.7663934, 0.9784521, 0.99731183, 0.81936044, 0.77213484, 0.7466319, 0.6290538]"
12,0.4944,0.8071,0.8161,0.8065,0.8056,30.73,model_kedinasan_smote_feature_selection/tuned_2/dnn_sem_12.keras,"[0.7937692, 0.79846364, 0.9649123, 1.0, 0.7133508, 0.7649955, 0.7728086, 0.6438658]"
