semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.9879,0.6946,0.4644,0.4129,0.419,10.84,model_ptn/dnn_sem_1.keras
2,0.7456,0.7205,0.5356,0.4558,0.4789,16.88,model_ptn/dnn_sem_2.keras
3,0.7038,0.7384,0.5572,0.486,0.5104,20.02,model_ptn/dnn_sem_3.keras
4,0.6386,0.7744,0.6902,0.5866,0.6082,27.49,model_ptn/dnn_sem_4.keras
5,0.5747,0.7847,0.6429,0.561,0.5876,21.17,model_ptn/dnn_sem_5.keras
6,0.9112,0.6594,0.3887,0.3267,0.3271,11.16,model_ptn/dnn_sem_6.keras
7,0.9032,0.67,0.4178,0.3433,0.3449,14.05,model_ptn/dnn_sem_7.keras
8,0.531,0.8024,0.6912,0.6217,0.6492,29.4,model_ptn/dnn_sem_8.keras
9,0.8668,0.6824,0.3984,0.3657,0.3656,10.8,model_ptn/dnn_sem_9.keras
10,0.8795,0.6701,0.3987,0.3453,0.3436,11.01,model_ptn/dnn_sem_10.keras
11,0.8554,0.6757,0.3742,0.3388,0.3384,10.98,model_ptn/dnn_sem_11.keras
12,0.8606,0.6815,0.4228,0.3549,0.3575,11.2,model_ptn/dnn_sem_12.keras
13,0.8465,0.6875,0.4109,0.3701,0.3804,11.08,model_ptn/dnn_sem_13.keras
14,0.8451,0.6812,0.4638,0.3529,0.3553,11.17,model_ptn/dnn_sem_14.keras
