semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1.0577,0.6279,0.3168,0.2573,0.2391,4.78,model_ptn_feature_selection/cnn_sem_1.keras
2,0.9237,0.6672,0.3839,0.3339,0.3381,7.97,model_ptn_feature_selection/cnn_sem_2.keras
3,0.7721,0.7127,0.4915,0.3644,0.3737,10.87,model_ptn_feature_selection/cnn_sem_3.keras
4,0.7489,0.7092,0.5014,0.3456,0.3553,13.32,model_ptn_feature_selection/cnn_sem_4.keras
5,0.6765,0.7699,0.4979,0.4125,0.4172,15.4,model_ptn_feature_selection/cnn_sem_5.keras
6,0.7323,0.7364,0.4719,0.4303,0.4247,18.09,model_ptn_feature_selection/cnn_sem_6.keras
7,0.7058,0.746,0.5137,0.4426,0.4551,18.73,model_ptn_feature_selection/cnn_sem_7.keras
8,0.6484,0.7647,0.5421,0.4533,0.4634,19.59,model_ptn_feature_selection/cnn_sem_8.keras
9,0.654,0.775,0.5374,0.4595,0.4745,19.95,model_ptn_feature_selection/cnn_sem_9.keras
10,0.6291,0.7928,0.604,0.5011,0.5202,19.96,model_ptn_feature_selection/cnn_sem_10.keras
11,0.672,0.7484,0.5877,0.4564,0.4884,19.9,model_ptn_feature_selection/cnn_sem_11.keras
12,0.6645,0.7636,0.4785,0.4197,0.4196,19.93,model_ptn_feature_selection/cnn_sem_12.keras
13,0.6932,0.7473,0.4909,0.457,0.4611,20.06,model_ptn_feature_selection/cnn_sem_13.keras
14,0.6656,0.7561,0.5268,0.4544,0.4595,20.32,model_ptn_feature_selection/cnn_sem_14.keras
