semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1.0023,0.5914,0.3922,0.3323,0.349,9.16,model_ptn_feature_selection/dnn_sem_1.keras
2,0.8778,0.6488,0.4111,0.3519,0.3686,11.34,model_ptn_feature_selection/dnn_sem_2.keras
3,0.8364,0.6645,0.5999,0.4263,0.4491,19.42,model_ptn_feature_selection/dnn_sem_3.keras
4,0.7733,0.6938,0.6279,0.4563,0.4817,20.75,model_ptn_feature_selection/dnn_sem_4.keras
5,0.738,0.7106,0.5948,0.4763,0.5078,18.86,model_ptn_feature_selection/dnn_sem_5.keras
6,0.679,0.7314,0.623,0.4942,0.5183,25.92,model_ptn_feature_selection/dnn_sem_6.keras
7,0.9877,0.6374,0.3235,0.3125,0.3114,8.85,model_ptn_feature_selection/dnn_sem_7.keras
8,0.9696,0.6267,0.3138,0.2932,0.2914,9.47,model_ptn_feature_selection/dnn_sem_8.keras
9,0.9097,0.6638,0.3388,0.3338,0.3329,9.48,model_ptn_feature_selection/dnn_sem_9.keras
10,0.9503,0.6438,0.3318,0.3237,0.3222,9.48,model_ptn_feature_selection/dnn_sem_10.keras
11,0.9566,0.6366,0.3253,0.3033,0.2991,9.53,model_ptn_feature_selection/dnn_sem_11.keras
12,0.9617,0.6449,0.326,0.3184,0.3148,9.45,model_ptn_feature_selection/dnn_sem_12.keras
13,0.9599,0.6398,0.3364,0.3051,0.3044,9.5,model_ptn_feature_selection/dnn_sem_13.keras
14,0.9319,0.6566,0.3411,0.3309,0.3308,9.57,model_ptn_feature_selection/dnn_sem_14.keras
