semester,accuracy,precision,recall,f1_score,dur,model_path
1,0.5532,0.5437,0.5532,0.5438,0.22,model_ptn_feature_selection_rf/rf_sem_1.pkl
2,0.6258,0.6067,0.6258,0.612,0.44,model_ptn_feature_selection_rf/rf_sem_2.pkl
3,0.6453,0.6298,0.6453,0.6329,0.64,model_ptn_feature_selection_rf/rf_sem_3.pkl
4,0.6602,0.6484,0.6602,0.6523,0.86,model_ptn_feature_selection_rf/rf_sem_4.pkl
5,0.6861,0.675,0.6861,0.6772,1.05,model_ptn_feature_selection_rf/rf_sem_5.pkl
6,0.7094,0.6983,0.7094,0.7004,1.22,model_ptn_feature_selection_rf/rf_sem_6.pkl
7,0.7128,0.7034,0.7128,0.7047,1.31,model_ptn_feature_selection_rf/rf_sem_7.pkl
8,0.7247,0.7154,0.7247,0.718,1.37,model_ptn_feature_selection_rf/rf_sem_8.pkl
9,0.7323,0.7246,0.7323,0.7251,1.47,model_ptn_feature_selection_rf/rf_sem_9.pkl
10,0.7326,0.7257,0.7326,0.7263,1.45,model_ptn_feature_selection_rf/rf_sem_10.pkl
11,0.7344,0.7282,0.7344,0.7286,1.45,model_ptn_feature_selection_rf/rf_sem_11.pkl
12,0.7351,0.7281,0.7351,0.7275,1.44,model_ptn_feature_selection_rf/rf_sem_12.pkl
13,0.7285,0.7199,0.7285,0.721,1.38,model_ptn_feature_selection_rf/rf_sem_13.pkl
14,0.731,0.7237,0.731,0.7238,1.44,model_ptn_feature_selection_rf/rf_sem_14.pkl
