semester,accuracy,precision,recall,f1_score,dur,model_path
1,0.5305,0.5231,0.5305,0.489,0.36,model_ptn_feature_selection_svm/svm_sem_1.pkl
2,0.5832,0.5301,0.5832,0.5359,1.37,model_ptn_feature_selection_svm/svm_sem_2.pkl
3,0.5994,0.5527,0.5994,0.5605,2.78,model_ptn_feature_selection_svm/svm_sem_3.pkl
4,0.6262,0.583,0.6262,0.5914,4.27,model_ptn_feature_selection_svm/svm_sem_4.pkl
5,0.6475,0.6147,0.6475,0.6162,5.88,model_ptn_feature_selection_svm/svm_sem_5.pkl
6,0.6618,0.6377,0.6618,0.6341,7.22,model_ptn_feature_selection_svm/svm_sem_6.pkl
7,0.666,0.6334,0.666,0.6374,8.28,model_ptn_feature_selection_svm/svm_sem_7.pkl
8,0.6746,0.6473,0.6746,0.6491,8.93,model_ptn_feature_selection_svm/svm_sem_8.pkl
9,0.679,0.6571,0.679,0.6564,9.28,model_ptn_feature_selection_svm/svm_sem_9.pkl
10,0.6794,0.6605,0.6794,0.6592,9.09,model_ptn_feature_selection_svm/svm_sem_10.pkl
11,0.6782,0.6595,0.6782,0.6568,9.03,model_ptn_feature_selection_svm/svm_sem_11.pkl
12,0.6829,0.6681,0.6829,0.6612,9.24,model_ptn_feature_selection_svm/svm_sem_12.pkl
13,0.679,0.6595,0.679,0.6571,9.22,model_ptn_feature_selection_svm/svm_sem_13.pkl
14,0.6834,0.6636,0.6834,0.6632,9.21,model_ptn_feature_selection_svm/svm_sem_14.pkl
