semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.3914,0.8968,0.892,0.8972,0.8941,535.43,model_ptn_smote/lstm_sem_1.keras
2,1.5968,0.3704,0.3542,0.3452,0.336,306.03,model_ptn_smote/lstm_sem_2.keras
3,0.2067,0.9433,0.9407,0.9426,0.9416,1562.69,model_ptn_smote/lstm_sem_3.keras
4,1.1808,0.5439,0.5378,0.5553,0.5361,538.83,model_ptn_smote/lstm_sem_4.keras
5,1.1273,0.5672,0.5757,0.5852,0.5666,682.87,model_ptn_smote/lstm_sem_5.keras
6,1.1108,0.5839,0.5942,0.5994,0.5894,1018.08,model_ptn_smote/lstm_sem_6.keras
7,1.0961,0.5916,0.598,0.5971,0.5908,1172.16,model_ptn_smote/lstm_sem_7.keras
8,1.0576,0.605,0.6312,0.6046,0.6054,1420.37,model_ptn_smote/lstm_sem_8.keras
9,1.0312,0.6068,0.61,0.6084,0.6035,1479.51,model_ptn_smote/lstm_sem_9.keras
10,0.9753,0.6358,0.6375,0.6352,0.6309,1545.84,model_ptn_smote/lstm_sem_10.keras
11,1.0262,0.6236,0.6331,0.6231,0.6193,1590.4,model_ptn_smote/lstm_sem_11.keras
12,1.0421,0.5974,0.607,0.5965,0.5896,1604.2,model_ptn_smote/lstm_sem_12.keras
13,1.1552,0.5504,0.5671,0.5497,0.5412,1631.37,model_ptn_smote/lstm_sem_13.keras
14,0.9328,0.655,0.6737,0.655,0.6515,1690.63,model_ptn_smote/lstm_sem_14.keras
