semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1.6937,0.3147,0.3806,0.3073,0.2838,10.09,model_ptn_smote_feature_selection/cnn_sem_1.keras
2,1.5451,0.3927,0.3457,0.3851,0.3357,17.88,model_ptn_smote_feature_selection/cnn_sem_2.keras
3,1.4634,0.424,0.4347,0.4348,0.4011,24.53,model_ptn_smote_feature_selection/cnn_sem_3.keras
4,1.4195,0.4522,0.4822,0.4579,0.4371,31.57,model_ptn_smote_feature_selection/cnn_sem_4.keras
5,1.3768,0.45,0.5321,0.4415,0.4384,37.94,model_ptn_smote_feature_selection/cnn_sem_5.keras
6,1.3245,0.4988,0.5085,0.498,0.4866,44.87,model_ptn_smote_feature_selection/cnn_sem_6.keras
7,1.3064,0.4937,0.5097,0.4937,0.478,50.41,model_ptn_smote_feature_selection/cnn_sem_7.keras
8,1.2981,0.497,0.5242,0.4966,0.4777,51.92,model_ptn_smote_feature_selection/cnn_sem_8.keras
9,1.2651,0.4995,0.5109,0.5018,0.4861,54.12,model_ptn_smote_feature_selection/cnn_sem_9.keras
10,1.2517,0.5383,0.5529,0.5365,0.5332,54.63,model_ptn_smote_feature_selection/cnn_sem_10.keras
11,1.274,0.5242,0.554,0.5232,0.5192,55.31,model_ptn_smote_feature_selection/cnn_sem_11.keras
12,1.2704,0.5006,0.5197,0.5013,0.4882,59.61,model_ptn_smote_feature_selection/cnn_sem_12.keras
13,1.2755,0.4997,0.5384,0.4993,0.4915,66.06,model_ptn_smote_feature_selection/cnn_sem_13.keras
14,1.2757,0.4958,0.5024,0.4967,0.4855,63.14,model_ptn_smote_feature_selection/cnn_sem_14.keras
