semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1.0974,0.579,0.5754,0.585,0.5709,123.95,model_ptn_smote_feature_selection/lstm_sem_1.keras
2,1.6801,0.3553,0.3189,0.3634,0.3188,46.98,model_ptn_smote_feature_selection/lstm_sem_2.keras
3,1.5856,0.4049,0.3845,0.4142,0.3757,48.85,model_ptn_smote_feature_selection/lstm_sem_3.keras
4,0.7989,0.7184,0.7196,0.7245,0.7209,719.78,model_ptn_smote_feature_selection/lstm_sem_4.keras
5,1.5129,0.4259,0.4298,0.4377,0.4242,108.07,model_ptn_smote_feature_selection/lstm_sem_5.keras
6,1.3958,0.4572,0.4749,0.4579,0.4224,124.42,model_ptn_smote_feature_selection/lstm_sem_6.keras
7,1.3978,0.4614,0.4603,0.463,0.4481,135.05,model_ptn_smote_feature_selection/lstm_sem_7.keras
8,1.2993,0.5019,0.4969,0.5035,0.4897,127.59,model_ptn_smote_feature_selection/lstm_sem_8.keras
9,1.34,0.4797,0.4937,0.4795,0.4771,129.18,model_ptn_smote_feature_selection/lstm_sem_9.keras
10,1.2815,0.5099,0.5103,0.5086,0.4983,92.15,model_ptn_smote_feature_selection/lstm_sem_10.keras
11,1.2771,0.5192,0.5158,0.5179,0.5086,92.88,model_ptn_smote_feature_selection/lstm_sem_11.keras
12,1.2776,0.5066,0.5196,0.5067,0.4933,93.17,model_ptn_smote_feature_selection/lstm_sem_12.keras
13,1.2512,0.5292,0.5357,0.5285,0.5225,93.29,model_ptn_smote_feature_selection/lstm_sem_13.keras
14,1.2382,0.5297,0.5382,0.5297,0.5215,93.67,model_ptn_smote_feature_selection/lstm_sem_14.keras
