semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1.7228,0.3675,0.3696,0.4028,0.3344,11.51,model_ptn_smote_feature_selection/tuned_2/dnn_sem_1.keras
2,1.3035,0.5006,0.4984,0.5114,0.48,15.17,model_ptn_smote_feature_selection/tuned_2/dnn_sem_2.keras
3,1.2214,0.5318,0.5297,0.5403,0.525,21.78,model_ptn_smote_feature_selection/tuned_2/dnn_sem_3.keras
4,1.1377,0.5546,0.56,0.5724,0.5507,29.29,model_ptn_smote_feature_selection/tuned_2/dnn_sem_4.keras
5,1.0543,0.6056,0.6132,0.608,0.5933,34.49,model_ptn_smote_feature_selection/tuned_2/dnn_sem_5.keras
6,1.0227,0.6144,0.6259,0.6221,0.6127,39.63,model_ptn_smote_feature_selection/tuned_2/dnn_sem_6.keras
7,1.05,0.5993,0.6171,0.5988,0.595,39.73,model_ptn_smote_feature_selection/tuned_2/dnn_sem_7.keras
8,0.9501,0.6438,0.646,0.6447,0.6387,43.37,model_ptn_smote_feature_selection/tuned_2/dnn_sem_8.keras
9,0.9839,0.6311,0.6365,0.6315,0.6268,57.32,model_ptn_smote_feature_selection/tuned_2/dnn_sem_9.keras
10,0.9433,0.6527,0.6579,0.6514,0.6461,64.41,model_ptn_smote_feature_selection/tuned_2/dnn_sem_10.keras
11,0.9698,0.6269,0.6488,0.6265,0.6199,66.15,model_ptn_smote_feature_selection/tuned_2/dnn_sem_11.keras
12,0.9713,0.6366,0.6401,0.6364,0.6305,66.34,model_ptn_smote_feature_selection/tuned_2/dnn_sem_12.keras
13,0.9688,0.6319,0.6461,0.6314,0.626,67.13,model_ptn_smote_feature_selection/tuned_2/dnn_sem_13.keras
14,0.9329,0.6401,0.6465,0.6402,0.635,66.08,model_ptn_smote_feature_selection/tuned_2/dnn_sem_14.keras
