semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.8932,0.6824,0.6675,0.6882,0.6694,42.7,model_pts_smote/cnn_sem_1.keras
2,0.8672,0.6784,0.6744,0.6818,0.6705,75.83,model_pts_smote/cnn_sem_2.keras
3,0.8567,0.6807,0.6822,0.6887,0.6739,106.27,model_pts_smote/cnn_sem_3.keras
4,0.8534,0.6904,0.6884,0.6901,0.6816,135.11,model_pts_smote/cnn_sem_4.keras
5,0.8233,0.6988,0.7004,0.6978,0.692,153.55,model_pts_smote/cnn_sem_5.keras
6,0.854,0.6902,0.7063,0.6871,0.6838,182.53,model_pts_smote/cnn_sem_6.keras
7,0.8325,0.6986,0.696,0.7002,0.6909,198.89,model_pts_smote/cnn_sem_7.keras
8,0.8177,0.7105,0.7152,0.7084,0.7044,206.97,model_pts_smote/cnn_sem_8.keras
9,0.8161,0.7056,0.709,0.7064,0.7026,217.18,model_pts_smote/cnn_sem_9.keras
10,0.8081,0.7025,0.7103,0.7027,0.702,242.6,model_pts_smote/cnn_sem_10.keras
11,0.7967,0.7087,0.7024,0.7089,0.7013,268.23,model_pts_smote/cnn_sem_11.keras
14,0.8374,0.6881,0.7113,0.6886,0.6894,258.99,model_pts_smote/cnn_sem_14.keras
13,0.857,0.6832,0.696,0.6831,0.6764,255.84,model_pts_smote/cnn_sem_13.keras
12,0.7902,0.7094,0.7101,0.7097,0.7076,263.61,model_pts_smote/cnn_sem_12.keras
