semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.4854,0.8218,0.8178,0.8181,0.8163,85.14,model_pts_smote/dnn_sem_1.keras
2,0.8142,0.7007,0.6922,0.6999,0.6887,37.66,model_pts_smote/dnn_sem_2.keras
3,0.7831,0.7095,0.6996,0.7096,0.6975,52.21,model_pts_smote/dnn_sem_3.keras
4,0.7295,0.7313,0.7263,0.7282,0.725,66.26,model_pts_smote/dnn_sem_4.keras
5,0.4572,0.8324,0.8298,0.8301,0.8282,320.5,model_pts_smote/dnn_sem_5.keras
6,0.7204,0.7351,0.7329,0.7324,0.7286,92.79,model_pts_smote/dnn_sem_6.keras
7,0.7083,0.735,0.7328,0.731,0.7275,99.81,model_pts_smote/dnn_sem_7.keras
8,0.7152,0.7391,0.7367,0.7387,0.7351,106.66,model_pts_smote/dnn_sem_8.keras
9,0.693,0.7431,0.7402,0.7451,0.7401,112.41,model_pts_smote/dnn_sem_9.keras
10,0.6771,0.7506,0.748,0.7515,0.7474,114.84,model_pts_smote/dnn_sem_10.keras
11,0.6859,0.7496,0.7475,0.7501,0.7467,120.29,model_pts_smote/dnn_sem_11.keras
14,0.6881,0.7455,0.7429,0.7458,0.7381,123.68,model_pts_smote/dnn_sem_14.keras
13,0.6866,0.7463,0.7443,0.7464,0.7412,135.71,model_pts_smote/dnn_sem_13.keras
12,0.6875,0.7452,0.7474,0.7456,0.7424,149.45,model_pts_smote/dnn_sem_12.keras
