semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,0.3331,0.9017,0.8991,0.9022,0.9,102.03,model_pts_smote/tuned_1/dnn_sem_1.keras
2,0.5483,0.8057,0.8022,0.8064,0.8029,55.07,model_pts_smote/tuned_1/dnn_sem_2.keras
3,0.2404,0.9219,0.9222,0.9231,0.9223,299.0,model_pts_smote/tuned_1/dnn_sem_3.keras
4,0.4729,0.8291,0.8268,0.8356,0.828,95.98,model_pts_smote/tuned_1/dnn_sem_4.keras
5,0.4449,0.8415,0.8431,0.8402,0.8396,113.68,model_pts_smote/tuned_1/dnn_sem_5.keras
6,0.4429,0.8415,0.8472,0.8383,0.8402,130.72,model_pts_smote/tuned_1/dnn_sem_6.keras
7,0.4248,0.8457,0.8534,0.8443,0.8465,104.66,model_pts_smote/tuned_1/dnn_sem_7.keras
8,0.1899,0.9389,0.94,0.9401,0.9397,465.61,model_pts_smote/tuned_1/dnn_sem_8.keras
9,0.4268,0.8457,0.8494,0.848,0.8467,126.07,model_pts_smote/tuned_1/dnn_sem_9.keras
10,0.4204,0.846,0.8483,0.8476,0.8456,130.2,model_pts_smote/tuned_1/dnn_sem_10.keras
11,0.4022,0.8545,0.8559,0.8546,0.8541,133.54,model_pts_smote/tuned_1/dnn_sem_11.keras
14,0.3894,0.8582,0.8606,0.8585,0.8579,136.24,model_pts_smote/tuned_1/dnn_sem_14.keras
13,0.3956,0.858,0.8585,0.8581,0.8569,136.26,model_pts_smote/tuned_1/dnn_sem_13.keras
12,0.4018,0.8538,0.8557,0.8541,0.8531,135.53,model_pts_smote/tuned_1/dnn_sem_12.keras
