semester,loss,accuracy,precision,recall,f1_score,training_duration_seconds,model_path
1,1.1177,0.5859,0.5771,0.571,0.5619,16.73,model_pts_smote_feature_selection/tuned_2/dnn_sem_1.keras
2,1.0554,0.6065,0.5951,0.6016,0.592,32.41,model_pts_smote_feature_selection/tuned_2/dnn_sem_2.keras
3,0.9871,0.6359,0.6225,0.6308,0.6201,44.37,model_pts_smote_feature_selection/tuned_2/dnn_sem_3.keras
4,0.9462,0.6561,0.652,0.6532,0.6475,57.19,model_pts_smote_feature_selection/tuned_2/dnn_sem_4.keras
5,0.9095,0.6688,0.664,0.6673,0.6627,66.24,model_pts_smote_feature_selection/tuned_2/dnn_sem_5.keras
6,0.8837,0.6759,0.6753,0.6708,0.6692,64.03,model_pts_smote_feature_selection/tuned_2/dnn_sem_6.keras
7,0.8471,0.6875,0.6837,0.689,0.6837,70.99,model_pts_smote_feature_selection/tuned_2/dnn_sem_7.keras
8,0.8496,0.6844,0.6862,0.6871,0.683,78.16,model_pts_smote_feature_selection/tuned_2/dnn_sem_8.keras
9,0.8341,0.6931,0.6941,0.6953,0.6907,103.87,model_pts_smote_feature_selection/tuned_2/dnn_sem_9.keras
10,0.8173,0.7007,0.703,0.7012,0.7,131.45,model_pts_smote_feature_selection/tuned_2/dnn_sem_10.keras
11,0.804,0.7062,0.71,0.7061,0.7034,109.19,model_pts_smote_feature_selection/tuned_2/dnn_sem_11.keras
14,0.816,0.6972,0.7028,0.6974,0.6964,112.53,model_pts_smote_feature_selection/tuned_2/dnn_sem_14.keras
13,0.8168,0.7002,0.6999,0.7003,0.6956,127.5,model_pts_smote_feature_selection/tuned_2/dnn_sem_13.keras
12,0.7927,0.7091,0.7089,0.7092,0.7055,110.82,model_pts_smote_feature_selection/tuned_2/dnn_sem_12.keras
